Season,Date,Home Team,Away Team,xG,xGA,npxG,npxGA,npxGD,Home PPDA,Away PPDA,Deep,Deep Allowed,Goals Scored,Goals Conceded,Result
2015,23/08/2014 12:45,Aston Villa,Newcastle,0.51,0.70,0.51,0.70,-0.19,15.52,8.57,4,7,0,0,d
2015,31/08/2014 13:30,Aston Villa,Hull,0.64,0.29,0.64,0.29,0.35,28.15,11.58,6,7,2,1,w
2015,20/09/2014 15:00,Aston Villa,Arsenal,0.65,1.36,0.65,1.36,-0.71,44.25,7.73,0,7,0,3,l
2015,04/10/2014 17:30,Aston Villa,Man City,0.69,2.31,0.69,2.31,-1.62,25.79,7.77,1,12,0,2,l
2015,02/11/2014 16:00,Aston Villa,Tottenham,0.87,2.54,0.87,2.54,-1.67,14.37,8.06,3,11,1,2,l
2015,24/11/2014 20:00,Aston Villa,Southampton,1.13,0.86,1.13,0.86,0.27,20.86,6.20,3,14,1,1,d
2015,07/12/2014 16:00,Aston Villa,Leicester,1.98,1.01,1.98,1.01,0.97,6.43,9.34,7,6,2,1,w
2015,20/12/2014 15:00,Aston Villa,Man Utd,0.58,1.07,0.58,1.07,-0.49,23.15,10.63,3,7,1,1,d
2015,28/12/2014 15:00,Aston Villa,Sunderland,0.65,0.85,0.65,0.85,-0.19,18.00,13.10,7,6,0,0,d
2015,01/01/2015 15:00,Aston Villa,Crystal Palace,1.39,0.58,1.39,0.58,0.81,4.96,15.54,7,4,0,0,d
2015,17/01/2015 15:00,Aston Villa,Liverpool,0.85,1.54,0.85,1.54,-0.70,11.00,7.46,14,7,0,2,l
2015,07/02/2015 15:00,Aston Villa,Chelsea,0.71,1.12,0.71,1.12,-0.41,17.88,20.13,5,7,1,2,l
2015,21/02/2015 15:00,Aston Villa,Stoke,0.23,1.12,0.23,0.36,-0.12,11.75,9.94,4,3,1,2,l
2015,03/03/2015 19:45,Aston Villa,WBA,1.92,0.91,1.16,0.91,0.25,8.29,19.21,6,5,2,1,w
2015,21/03/2015 15:00,Aston Villa,Swansea,0.76,1.90,0.76,1.90,-1.14,12.00,7.77,7,5,0,1,l
2015,07/04/2015 19:45,Aston Villa,QPR,1.87,1.43,1.87,1.43,0.44,6.50,8.86,5,3,3,3,d
2015,02/05/2015 15:00,Aston Villa,Everton,1.56,1.40,1.56,0.64,0.92,8.14,18.82,3,5,3,2,w
2015,09/05/2015 15:00,Aston Villa,West Ham,1.27,0.15,1.27,0.15,1.12,12.86,12.11,9,2,1,0,w
2015,24/05/2015 15:00,Aston Villa,Burnley,0.65,0.66,0.65,0.66,-0.01,10.80,19.64,5,6,0,1,l
2015,23/08/2014 17:30,Everton,Arsenal,1.33,1.43,1.33,1.43,-0.10,15.88,7.79,3,8,2,2,d
2015,30/08/2014 17:30,Everton,Chelsea,1.45,2.03,1.45,2.03,-0.58,6.19,10.59,11,7,3,6,l
2015,21/09/2014 16:00,Everton,Crystal Palace,2.56,1.63,1.80,0.87,0.93,5.21,22.95,14,4,2,3,l
2015,18/10/2014 15:00,Everton,Aston Villa,1.67,0.37,1.67,0.37,1.30,16.08,17.25,7,6,3,0,w
2015,01/11/2014 15:00,Everton,Swansea,1.15,0.69,1.15,0.69,0.45,4.91,13.18,16,4,0,0,d
2015,22/11/2014 15:00,Everton,West Ham,1.83,1.12,1.83,1.12,0.71,5.29,13.86,9,4,2,1,w
2015,03/12/2014 19:45,Everton,Hull,1.28,0.30,1.28,0.30,0.98,11.29,8.81,7,1,1,1,d
2015,15/12/2014 20:00,Everton,QPR,0.75,0.97,0.75,0.97,-0.22,8.00,10.21,5,4,3,1,w
2015,26/12/2014 15:00,Everton,Stoke,1.01,1.40,1.01,0.63,0.37,5.52,14.79,4,2,0,1,l
2015,10/01/2015 15:00,Everton,Man City,0.95,1.51,0.95,1.51,-0.56,11.45,8.18,1,22,1,1,d
2015,19/01/2015 20:00,Everton,WBA,1.49,0.20,0.73,0.20,0.54,7.50,19.13,10,3,0,0,d
2015,07/02/2015 17:30,Everton,Liverpool,0.23,1.04,0.23,1.04,-0.81,13.23,17.00,4,6,0,0,d
2015,22/02/2015 14:05,Everton,Leicester,2.05,2.00,2.05,2.00,0.06,11.06,13.21,13,5,2,2,d
2015,15/03/2015 16:00,Everton,Newcastle,2.26,0.81,1.50,0.81,0.69,7.42,15.78,9,4,3,0,w
2015,04/04/2015 15:00,Everton,Southampton,1.02,0.53,1.02,0.53,0.49,8.52,4.44,3,6,1,0,w
2015,18/04/2015 15:00,Everton,Burnley,2.36,1.06,1.60,1.06,0.54,6.17,14.10,14,5,1,0,w
2015,26/04/2015 13:30,Everton,Man Utd,1.08,0.75,1.08,0.75,0.33,16.44,5.62,2,8,3,0,w
2015,09/05/2015 12:45,Everton,Sunderland,1.14,1.20,1.14,1.20,-0.05,4.71,15.57,18,2,0,2,l
2015,24/05/2015 15:00,Everton,Tottenham,0.65,1.39,0.65,1.39,-0.74,10.80,9.63,9,7,0,1,l
2015,23/08/2014 15:00,Southampton,WBA,0.67,0.67,0.67,0.67,0.00,7.44,12.39,5,2,0,0,d
2015,13/09/2014 15:00,Southampton,Newcastle,2.12,1.15,2.12,1.15,0.97,11.80,20.56,4,1,4,0,w
2015,27/09/2014 15:00,Southampton,QPR,2.34,0.46,2.34,0.46,1.89,9.55,14.56,8,3,2,1,w
2015,18/10/2014 15:00,Southampton,Sunderland,3.71,0.92,3.71,0.92,2.79,10.36,24.73,16,3,8,0,w
2015,25/10/2014 15:00,Southampton,Stoke,1.38,0.87,1.38,0.87,0.51,8.13,21.31,8,0,1,0,w
2015,08/11/2014 15:00,Southampton,Leicester,1.01,0.54,1.01,0.54,0.46,7.39,20.88,9,1,2,0,w
2015,30/11/2014 13:30,Southampton,Man City,0.80,2.13,0.80,2.13,-1.33,9.25,10.07,3,8,0,3,l
2015,08/12/2014 20:00,Southampton,Man Utd,1.83,0.80,1.83,0.80,1.03,6.71,18.13,9,2,1,2,l
2015,20/12/2014 15:00,Southampton,Everton,2.21,0.60,2.21,0.60,1.61,8.14,16.25,4,2,3,0,w
2015,28/12/2014 14:05,Southampton,Chelsea,0.53,0.52,0.53,0.52,0.01,11.96,10.45,1,21,1,1,d
2015,01/01/2015 15:00,Southampton,Arsenal,2.41,0.85,2.41,0.85,1.57,10.40,13.22,5,4,2,0,w
2015,01/02/2015 16:00,Southampton,Swansea,1.63,0.26,1.63,0.26,1.36,11.09,35.10,11,1,0,1,l
2015,11/02/2015 19:45,Southampton,West Ham,1.68,0.13,1.68,0.13,1.56,7.00,16.13,14,0,0,0,d
2015,22/02/2015 16:15,Southampton,Liverpool,0.87,0.70,0.87,0.70,0.17,7.96,14.90,7,5,0,2,l
2015,03/03/2015 19:45,Southampton,Crystal Palace,2.23,0.39,2.23,0.39,1.84,4.54,9.54,7,4,1,0,w
2015,21/03/2015 15:00,Southampton,Burnley,1.92,1.05,1.92,1.05,0.87,12.47,17.16,9,10,2,0,w
2015,11/04/2015 15:00,Southampton,Hull,2.37,0.74,1.61,0.74,0.88,10.64,16.05,9,3,2,0,w
2015,25/04/2015 12:45,Southampton,Tottenham,1.39,0.53,1.39,0.53,0.86,18.50,10.47,5,5,2,2,d
2015,16/05/2015 12:45,Southampton,Aston Villa,3.60,1.19,3.60,1.19,2.41,10.54,18.88,6,3,6,1,w
2015,16/08/2014 15:00,Leicester,Everton,1.28,0.61,1.28,0.61,0.67,14.48,11.69,1,15,2,2,d
2015,31/08/2014 16:00,Leicester,Arsenal,0.81,2.30,0.81,2.30,-1.49,11.00,7.50,4,13,1,1,d
2015,21/09/2014 13:30,Leicester,Man Utd,2.54,1.71,1.02,1.71,-0.69,12.39,6.69,6,7,5,3,w
2015,04/10/2014 15:00,Leicester,Burnley,1.58,0.96,1.58,0.96,0.62,7.65,6.72,1,9,2,2,d
2015,01/11/2014 15:00,Leicester,WBA,1.41,0.56,1.41,0.56,0.85,8.39,7.21,8,5,0,1,l
2015,22/11/2014 15:00,Leicester,Sunderland,0.69,0.89,0.69,0.89,-0.20,8.61,5.50,9,6,0,0,d
2015,02/12/2014 19:45,Leicester,Liverpool,1.24,1.30,1.24,1.30,-0.06,11.33,9.05,6,5,1,3,l
2015,13/12/2014 15:00,Leicester,Man City,0.36,1.13,0.36,1.13,-0.77,9.69,8.30,4,8,0,1,l
2015,26/12/2014 15:00,Leicester,Tottenham,1.47,1.36,1.47,1.36,0.12,10.20,9.21,9,5,1,2,l
2015,10/01/2015 15:00,Leicester,Aston Villa,2.37,0.61,2.37,0.61,1.76,6.91,6.32,5,8,1,0,w
2015,17/01/2015 15:00,Leicester,Stoke,0.38,0.72,0.38,0.72,-0.33,8.37,11.75,2,5,0,1,l
2015,07/02/2015 15:00,Leicester,Crystal Palace,0.78,1.01,0.78,1.01,-0.23,6.86,13.29,6,6,0,1,l
2015,14/03/2015 15:00,Leicester,Hull,0.54,1.05,0.54,1.05,-0.51,8.23,7.67,8,5,0,0,d
2015,04/04/2015 15:00,Leicester,West Ham,3.44,1.94,2.67,1.94,0.74,7.95,6.65,11,12,2,1,w
2015,18/04/2015 15:00,Leicester,Swansea,2.57,0.87,2.57,0.87,1.70,10.90,17.00,9,4,2,0,w
2015,29/04/2015 19:45,Leicester,Chelsea,0.60,1.52,0.60,1.52,-0.92,10.00,11.69,7,14,1,3,l
2015,02/05/2015 12:45,Leicester,Newcastle,4.03,0.49,3.27,0.49,2.78,7.41,4.92,7,5,3,0,w
2015,09/05/2015 15:00,Leicester,Southampton,1.64,0.35,1.64,0.35,1.29,13.91,3.67,5,8,2,0,w
2015,24/05/2015 15:00,Leicester,QPR,2.17,1.27,2.17,1.27,0.91,10.62,6.74,3,1,5,1,w
2015,16/08/2014 15:00,WBA,Sunderland,1.68,0.99,0.92,0.99,-0.07,5.94,13.69,6,3,2,2,d
2015,13/09/2014 15:00,WBA,Everton,0.60,0.81,0.60,0.81,-0.21,9.38,19.15,6,4,0,2,l
2015,28/09/2014 16:00,WBA,Burnley,1.81,0.47,1.81,0.47,1.34,11.40,19.00,3,2,4,0,w
2015,20/10/2014 20:00,WBA,Man Utd,0.62,0.93,0.62,0.93,-0.32,17.88,7.93,3,8,2,2,d
2015,25/10/2014 15:00,WBA,Crystal Palace,1.46,1.77,0.70,1.01,-0.32,4.46,24.77,8,1,2,2,d
2015,09/11/2014 13:30,WBA,Newcastle,0.77,0.69,0.77,0.69,0.07,9.63,12.75,11,1,0,2,l
2015,29/11/2014 12:45,WBA,Arsenal,0.32,1.06,0.32,1.06,-0.74,15.11,11.95,3,12,0,1,l
2015,02/12/2014 20:00,WBA,West Ham,1.41,1.24,1.41,1.24,0.17,9.56,8.23,2,2,1,2,l
2015,13/12/2014 15:00,WBA,Aston Villa,1.44,0.27,1.44,0.27,1.17,8.24,15.54,3,4,1,0,w
2015,26/12/2014 15:00,WBA,Man City,2.64,2.10,2.64,1.34,1.30,9.80,10.27,4,14,1,3,l
2015,10/01/2015 15:00,WBA,Hull,0.78,0.40,0.78,0.40,0.39,20.46,13.68,3,2,1,0,w
2015,31/01/2015 15:00,WBA,Tottenham,0.81,1.34,0.81,0.58,0.23,18.43,6.24,7,6,0,3,l
2015,11/02/2015 20:00,WBA,Swansea,0.69,0.44,0.69,0.44,0.25,13.85,6.48,4,6,2,0,w
2015,28/02/2015 15:00,WBA,Southampton,1.09,0.58,1.09,0.58,0.51,16.24,4.85,4,6,1,0,w
2015,14/03/2015 15:00,WBA,Stoke,0.96,0.20,0.96,0.20,0.76,12.50,5.04,4,7,1,0,w
2015,04/04/2015 15:00,WBA,QPR,2.13,1.21,2.13,1.21,0.92,11.38,10.57,9,5,1,4,l
2015,11/04/2015 15:00,WBA,Leicester,0.97,1.69,0.97,1.69,-0.72,7.22,6.19,2,4,2,3,l
2015,25/04/2015 15:00,WBA,Liverpool,0.51,1.41,0.51,1.41,-0.90,12.10,4.56,1,13,0,0,d
2015,18/05/2015 20:00,WBA,Chelsea,1.23,1.08,0.47,1.08,-0.61,23.33,12.32,6,7,3,0,w
2015,24/08/2014 16:00,Sunderland,Man Utd,0.67,0.94,0.67,0.94,-0.28,12.71,11.00,4,2,1,1,d
2015,13/09/2014 15:00,Sunderland,Tottenham,0.34,2.04,0.34,2.04,-1.70,8.00,5.94,7,6,2,2,d
2015,27/09/2014 15:00,Sunderland,Swansea,1.40,0.16,1.40,0.16,1.24,10.32,6.86,4,0,0,0,d
2015,04/10/2014 15:00,Sunderland,Stoke,1.41,0.48,1.41,0.48,0.93,7.58,4.82,1,2,3,1,w
2015,25/10/2014 15:00,Sunderland,Arsenal,0.44,1.47,0.44,1.47,-1.03,7.61,4.73,6,10,0,2,l
2015,09/11/2014 13:30,Sunderland,Everton,0.51,1.32,0.51,0.56,-0.05,11.48,8.32,4,7,1,1,d
2015,29/11/2014 17:30,Sunderland,Chelsea,1.03,0.76,1.03,0.76,0.27,13.60,5.45,1,11,0,0,d
2015,03/12/2014 19:45,Sunderland,Man City,0.41,1.04,0.41,1.04,-0.63,13.96,7.59,2,8,1,4,l
2015,13/12/2014 15:00,Sunderland,West Ham,1.34,0.87,0.57,0.87,-0.30,8.20,8.96,4,5,1,1,d
2015,26/12/2014 15:00,Sunderland,Hull,1.36,0.86,1.36,0.86,0.50,9.25,13.40,5,1,1,3,l
2015,10/01/2015 12:45,Sunderland,Liverpool,0.25,2.16,0.25,2.16,-1.91,15.58,11.63,1,9,0,1,l
2015,31/01/2015 15:00,Sunderland,Burnley,1.90,1.35,1.90,1.35,0.55,12.82,6.28,6,7,2,0,w
2015,10/02/2015 19:45,Sunderland,QPR,1.81,1.27,1.81,1.27,0.54,8.07,8.40,4,4,0,2,l
2015,21/02/2015 15:00,Sunderland,WBA,0.70,0.11,0.70,0.11,0.59,4.09,13.63,6,0,0,0,d
2015,14/03/2015 15:00,Sunderland,Aston Villa,0.47,1.50,0.47,1.50,-1.03,8.09,10.32,9,3,0,4,l
2015,05/04/2015 16:00,Sunderland,Newcastle,0.83,0.80,0.83,0.80,0.03,4.42,6.07,6,8,1,0,w
2015,11/04/2015 15:00,Sunderland,Crystal Palace,0.62,2.35,0.62,2.35,-1.73,5.32,5.15,4,7,1,4,l
2015,02/05/2015 15:00,Sunderland,Southampton,1.98,0.91,0.45,0.91,-0.45,11.04,10.10,2,2,2,1,w
2015,16/05/2015 15:00,Sunderland,Leicester,0.94,0.68,0.94,0.68,0.25,5.17,4.68,7,1,0,0,d
2015,23/08/2014 15:00,Crystal Palace,West Ham,0.62,1.34,0.62,1.34,-0.72,8.15,9.05,7,6,1,3,l
2015,13/09/2014 15:00,Crystal Palace,Burnley,0.78,1.25,0.78,0.49,0.29,12.73,7.50,5,4,0,0,d
